,repos/jetannenbaum/Alexa/birthday,CaptureBirthdayIntent,1,month,AMAZON.Month
,repos/jetannenbaum/Alexa/birthday,CaptureBirthdayIntent,1,day,AMAZON.Ordinal
,repos/jetannenbaum/Alexa/birthday,CaptureBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/johnzhang-redspace/jovo-sample,MyNameIsIntent,1,name,"{'alexa': 'AMAZON.US_FIRST_NAME', 'dialogflow': '@sys.given-name'}"
,repos/joshua-bloom/alexa-skill-cake-time,CaptureBirthdayIntent,1,month,AMAZON.Month
,repos/joshua-bloom/alexa-skill-cake-time,CaptureBirthdayIntent,1,day,AMAZON.Ordinal
,repos/joshua-bloom/alexa-skill-cake-time,CaptureBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/joshua-bloom/cake-time-skill-william,CaptureBirthdayIntent,1,month,AMAZON.Month
,repos/joshua-bloom/cake-time-skill-william,CaptureBirthdayIntent,1,day,AMAZON.Ordinal
,repos/joshua-bloom/cake-time-skill-william,CaptureBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/joshua-bloom/william-lai-cake-time,CaptureBirthdayIntent,1,month,AMAZON.Month
,repos/joshua-bloom/william-lai-cake-time,CaptureBirthdayIntent,1,day,AMAZON.Ordinal
,repos/joshua-bloom/william-lai-cake-time,CaptureBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/juanmf/InnovationChallengeDealsAssistantAlexaSkill,NameIntent,1,name,AMAZON.US_FIRST_NAME
,repos/juliocrn94/Happybirthday_Alexa_Skill,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/juliocrn94/Happybirthday_Alexa_Skill,RegisterBirthdayIntent,1,month,MonthType
,repos/juliocrn94/Happybirthday_Alexa_Skill,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/junw10/noah.care,CaptureBirthdayIntent,1,month,AMAZON.Month
,repos/junw10/noah.care,CaptureBirthdayIntent,1,day,AMAZON.Ordinal
,repos/junw10/noah.care,CaptureBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/karakarakaraff/alexa-skills/oregon-trail,GetName,1,name,AMAZON.US_FIRST_NAME
,repos/KartikChugh/CakeTime,CaptureBirthdayIntent,1,month,AMAZON.Month
,repos/KartikChugh/CakeTime,CaptureBirthdayIntent,1,day,AMAZON.Ordinal
,repos/KartikChugh/CakeTime,CaptureBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/Kowsalya-Balachandran/kowsalyadhanam,MyNameIsIntent,1,name,AMAZON.US_FIRST_NAME
,repos/lucasagostini/NicaProject,GiveNameIntent,1,name,AMAZON.FirstName
,repos/lucky-singh/mltrivia/ML_Trivia,GetNameIntent,1,name,AMAZON.US_FIRST_NAME
,repos/Makerdemy/Advanced-Alexa/SECTION-1/with_entity_resolution,captureusername,1,name,AMAZON.US_FIRST_NAME
